# mo-reacher-v5 [RH] - curated 50-point verified achievable front for the CF ZOO app
# columns retain desired witness command, optional RH horizon, and achieved ND target from achievable_1pct
# selection: objective extremes plus rollout-coverage-aware geometric diversity; max normalized fidelity error 0.00989444771924; median 0.00217461016472
# landing archive: full verified mo-reacher-v5 RH archive; display/candidate bank: these 50 witnesses
# benchmark: 200/200 random reachable states had a realizable alternative (100%); ZOO->Continue 50/50 at max_queries=500
32.6338005,9.23616982,17.7322998,19.8362999,50,32.1272812,9.69509315,17.8441277,20.0571594
10.9847002,30.7240009,20.4120998,16.8596992,50,11.218894,30.9742451,20.4899464,17.0485325
23.0855999,15.6954002,30.1424999,11.7452002,50,22.8084278,16.4991531,30.3935871,12.0194397
21.8502998,14.6956997,11.2257996,30.7777996,50,21.7917271,14.6118021,11.1890345,30.8854008
28.1858006,10.6740999,27.2213001,10.9752998,36,28.7801914,10.9351273,27.8759556,11.3344536
19.3612003,22.5688,23.3402004,19.3964005,50,19.4277954,22.5869942,23.3128948,19.3990364
13.1947002,24.9811001,13.8214998,26.3838997,36,13.1077499,25.1018982,13.7746506,26.4960556
24.5832005,16.1345005,19.0307007,23.281601,50,24.5864353,16.1676273,19.0407963,23.2967472
25.9937,16.3150997,24.5990009,17.1063004,50,25.9980335,16.3119125,24.6105881,17.136961
15.9294996,24.5137997,27.4783001,13.6216002,50,15.9119244,24.8847427,27.6052113,13.8338871
19.9680996,19.9006996,15.4369001,26.5030003,50,20.004467,20.0820446,15.4088821,26.6151276
28.0575008,9.89175034,12.8107004,25.9148006,50,28.1196365,10.1123238,13.2362223,25.4744492
15.1479998,26.6044998,17.8132,21.1445999,50,15.1730528,26.7057629,17.9103012,21.3708229
20.5737,20.3579998,27.5578995,15.3432999,50,20.5618591,20.3709183,27.5537739,15.3467808
28.7451992,13.1688995,21.1991997,19.2936001,50,28.7432194,13.1706657,21.1979885,19.2960835
19.2514992,22.5449009,18.6466999,22.8115997,50,19.214077,22.5989094,18.6557941,22.9254189
23.2978001,18.8283005,22.1629009,20.2294998,50,23.3275566,18.8329563,22.1549072,20.200285
14.6063995,27.1802006,23.6256008,16.5611992,50,14.2205048,27.346384,23.726265,16.5762005
23.3087006,15.2509003,15.0494003,26.8761997,50,23.5787621,15.5294781,14.9292955,27.2262573
30.2513008,11.2205,24.0911007,14.4377003,50,29.9393578,11.3394299,24.3206348,14.879879
16.9955006,25.3920994,20.718399,18.9071999,50,16.9041061,25.5622406,20.812746,18.9750805
26.1431007,14.3100996,28.0181007,13.099,50,26.3561115,14.2236481,28.202404,13.0781975
22.5725994,18.7893009,25.1459007,17.6793003,50,22.5138607,18.8442135,25.1510696,17.6780567
17.5877991,24.094101,25.4477997,16.7835999,50,17.607338,24.062973,25.4487972,16.8054771
11.2602997,29.6292992,17.6784,20.3472004,50,11.7443237,29.554594,17.6709557,20.3122597
24.9029999,12.3701,12.3178997,28.4929008,50,25.3097267,12.4175634,12.4613581,28.3258286
26.2842007,16.1681995,21.4909,20.3435001,50,26.2936001,16.1461296,21.4626255,20.3733444
20.2432003,20.5214996,21.2591991,21.6301003,50,20.2316532,20.5147839,21.2640648,21.6143551
27.0902004,12.4928999,16.5706005,23.2654991,34,27.6387577,12.6806803,16.7842712,23.7755718
15.9872999,23.5508995,14.8025999,24.8033009,50,16.2146244,23.2516212,15.1251965,24.96348
22.5489998,18.4698009,17.1480999,25.0681,50,22.5493603,18.4928265,17.1384182,25.1936474
23.5086994,17.7241993,27.2241993,15.4190998,50,23.5201588,17.6909752,27.2356205,15.3933125
20.5613995,21.5522003,24.4946995,16.4566994,50,20.5257225,21.6746693,24.5903893,16.5832653
29.3614998,11.7799997,18.5562992,21.0699005,50,29.4601974,11.9123135,18.7407112,21.1851273
25.0562,14.6002998,16.8106003,24.9860001,50,25.081356,14.5630283,16.7639523,25.0192184
18.3593998,23.5063992,21.1594009,21.2901001,50,18.3662148,23.493515,21.1697083,21.3347492
22.6730003,19.3491001,19.3836002,22.9419003,50,22.6094151,19.3875103,19.2993164,23.0252857
27.4188004,14.5073996,18.9979,22.3229008,50,27.4544334,14.476141,18.9918156,22.3065796
13.9427996,25.7383003,16.3449001,23.6774998,50,13.9712858,25.9955673,16.1417484,23.9590931
18.2280006,22.0760002,28.3565998,14.0871,50,18.3974991,22.2766361,28.4438725,14.0962505
21.7891006,20.6457005,22.7110996,18.3645,50,21.7205753,20.7625427,22.7692242,18.3934612
13.6808996,28.0301991,19.9773998,20.1033993,50,13.8664799,28.0693474,19.7181206,19.9219456
27.9990005,13.7862997,23.5312004,17.2341995,50,27.9852295,13.7830629,23.6456699,17.3564224
16.3976002,24.1436996,18.5014,22.9216995,50,16.1986713,23.7164154,18.6273556,22.675993
21.4804001,16.2845993,12.9976997,29.1952991,50,21.3470554,16.2111168,13.0103664,29.3491573
16.8318005,21.7411995,14.6303997,27.2772007,50,16.7761002,21.921339,14.6268349,27.4129448
20.2837009,18.6870995,29.9550991,12.5143995,48,20.1749725,19.0864868,29.4754086,13.0286732
24.4904003,17.9864998,23.5674,18.2870998,50,24.468132,18.0062313,23.5576191,18.4479046
24.6361008,17.6755009,20.6012993,21.6026001,50,24.6440125,17.667429,20.5230026,21.6963348
26.1657009,15.0888996,26.1473007,14.9483995,50,26.2798958,15.0538568,26.5132427,15.2009706
