# mo-reacher-v5 [R] - curated 50-point verified achievable front for the CF ZOO app
# columns retain desired witness command, optional RH horizon, and achieved ND target from achievable_1pct
# selection: objective extremes plus rollout-coverage-aware geometric diversity; max normalized fidelity error 0.0093395332696; median 0.00180409760243
# landing archive: full verified mo-reacher-v5 R archive; display/candidate bank: these 50 witnesses
# benchmark: 197/200 random reachable states had a realizable alternative (98.5%); ZOO->Continue 50/50 at max_queries=500
46.3083572,-4.57988644,12.9782324,8.81251335,45.8498306,-5.12844276,12.8437452,9.15961456
2.84598875,33.4431877,24.4512177,6.42481709,2.80152273,33.4474182,23.9884892,6.28359175
2.91079211,36.4525566,18.6942329,11.6510134,3.0857265,37.1847,18.4266167,11.9200935
46.0268097,-5.30830765,11.4774094,10.3727007,45.6470947,-5.1298151,11.4159737,10.5786524
12.159523,9.10621738,46.5214996,-4.77172232,12.5870523,9.55330849,47.1674385,-5.04072046
15.6600494,8.45322037,-0.687654018,37.5368996,14.9089746,8.57750416,-1.03906083,37.6279984
16.0447998,8.38697338,-0.514042854,37.5878983,16.2754135,7.98754549,-0.640621066,38.1810417
12.6523352,8.6114521,45.4999695,-5.02785921,13.0368643,8.97030926,46.0524178,-5.12521172
29.7756329,8.64999962,28.6667156,8.74111271,29.6984634,8.63528442,28.6203594,8.72345543
25.5369492,16.2969513,18.3710995,22.6692505,25.5405445,16.292984,18.3639088,22.6727295
33.4623718,5.45169258,12.7496624,21.6648674,33.6352921,5.42736721,12.7869005,21.6395416
20.8113003,17.4027004,15.4434996,27.2949009,20.8538132,17.4927101,15.3826981,27.3053246
25.3830719,12.3689766,31.1051998,9.7357235,25.4979858,12.3360796,31.1451855,9.79428291
21.1042061,19.3851376,23.4669304,19.3376884,21.0767307,19.3598843,23.4573383,19.2891045
34.1101418,8.40598011,18.5505676,17.8971233,34.0690651,8.23468304,18.4711761,17.7032356
33.3056183,3.75225687,26.0328808,6.56301403,33.4442406,3.77364159,26.3120136,6.60956192
16.4186001,20.8642998,13.0831003,28.8551998,16.4051113,20.8586578,13.0803537,28.8444862
29.4794979,11.9793892,24.940443,15.0960398,29.5535355,12.0301399,24.9671421,15.1622677
18.2517147,23.6752758,24.1886253,17.4145107,18.2129116,23.8094444,24.298605,17.4787884
38.4146996,3.98913789,16.9740448,15.3133402,38.291378,3.91571331,16.8328209,15.1791105
22.1714993,12.9967604,7.92076588,31.7182388,22.0355301,12.9279623,8.06620693,31.9451008
26.2961998,14.7614994,15.9866505,24.0536995,26.2914753,14.7747917,15.9987164,24.1612854
24.1259003,8.63846016,35.5802002,3.48574996,24.2548943,8.68168926,35.5349617,3.58283067
16.4144993,21.1669006,32.8233986,9.24236965,16.4751263,21.236578,32.8924103,9.2957859
21.2915993,18.2549992,25.7903996,17.0930996,21.3078842,18.2647495,25.7957096,17.1032887
9.56298351,28.4089718,25.4800873,11.6534004,9.76719856,28.6243134,25.4774036,11.9442778
26.1822586,15.0824575,27.4198685,14.0852232,26.0726318,14.988431,27.3073845,14.0237932
16.5895271,15.3296881,38.8540497,3.17759967,16.5959492,15.483654,39.0523415,3.1291256
17.0106354,23.5751228,21.7682724,20.1478329,16.9961548,23.5725136,21.755125,20.0886021
30.8822823,9.55273342,25.2169514,13.3426294,30.9907207,9.56590843,25.2138195,13.4008694
42.2038498,-2.83915806,16.6285553,8.07271671,42.4789581,-2.61485815,17.1515808,8.14277649
18.7334995,17.0177002,13.1841002,29.5382004,18.637558,16.910305,13.2608194,29.4610653
33.3563766,7.25009537,15.0960236,21.3025455,33.5824432,7.28021097,15.0914164,21.4735699
29.5407009,6.44430017,8.74312973,27.3106995,29.4009838,6.51396275,8.68579578,27.4464798
22.0063095,18.3687439,29.4487934,12.5284376,21.9155407,18.3077259,29.3711452,12.4810152
19.9945202,17.5780811,32.7332001,8.71517181,20.1988716,17.5277576,32.7608414,8.74077034
26.147995,13.9891977,18.3038387,23.1993179,26.1359081,13.9423904,18.2936001,23.1020832
24.4552746,18.0519161,20.450119,19.1271095,24.4591713,17.8617344,20.3809891,19.0421085
22.9255543,15.6069107,14.3971844,27.7796955,22.9283447,15.6743002,14.3912029,27.7727985
21.0067997,19.8796997,27.4060001,15.3642998,20.9060211,19.9345798,27.3609524,15.4194508
31.9130287,5.50850534,27.6911411,7.51572895,31.7874146,5.47773695,27.5612144,7.45217943
28.6745644,9.82278061,28.5863132,10.3691483,28.8465595,9.85048103,28.6802521,10.452527
21.7331009,20.2502995,21.8983002,20.6762009,21.5472775,20.3813496,21.8498955,20.8469772
19.6576881,10.5358381,39.8501396,1.31565738,19.657486,10.5384541,39.8592949,1.30510676
38.3363991,-1.35927498,21.2652016,5.86378002,38.3053017,-1.33859134,21.2641068,5.87245464
27.4466991,7.41668987,32.1913986,5.1939702,27.5157471,7.4247303,32.3007278,5.21403599
18.886982,15.9047251,36.9015503,5.49807787,18.8792896,15.9635277,36.9672775,5.52412128
17.7864914,23.1634407,25.946497,13.6926651,17.88978,23.2256393,26.0394249,13.7062836
32.6043015,9.62677956,20.9223003,16.8250008,32.63797,9.61412144,21.0108509,16.8799095
30.5186005,9.64161015,26.8953991,11.1342001,30.5169106,9.61864281,26.9289227,11.09939
